rank,har_id,har_alt_id,chrom,start,end,width,phylop_mean,phylop_max,gene,gene_distance,gene_confidence,gene_conf_num,gene_n_disorders,gene_assignment_method,plac_gene,plac_type,plac_atac,gwas_trait,gwas_snp,gwas_pval,gwas_distance,gwas_mapped_trait,gwas_study,gwas_pubmed,brain_dnase_overlap,brain_dnase_peak,temporal_gene,gene_peak_pcw,gene_midfetal_frac,gene_in_midfetal,score_constraint,score_acceleration,score_gene,score_disease,score_brain,score_temporal,score_motif,contrib_constraint,contrib_acceleration,contrib_gene,contrib_disease,contrib_brain,contrib_temporal,contrib_motif,total_score
11,HAR_2970,HARsv2_2832,chr8,76684822,76685557,735,5.535469470380926,8.89900016784668,ZFHX4,3576,definitive,5,1,plac_linked,PEX2,distal,True,Depression,rs6472981,2e-08,4782,major depressive disorder,The Australian Genetics of Depression Study: New Risk Loci and Dissecting Heterogeneity Between Subtypes.,34924174,False,,PEX2,25.0,0.37968182171502496,False,0.8282879672606362,0.8093160278500278,1.0,0.1245262204381325,0.2,0.37968182171502496,0.0,0.1490918341069145,0.05665212194950195,0.22,0.02739576849638915,0.026000000000000002,0.049358636822953245,0.0,0.5284983613757589
12,HAR_1964,ZOOHAR.31,chr3,81216880,81217184,304,5.0910146051885175,8.902999877929688,GBE1,544462,definitive,5,1,plac_linked,GBE1,distal,True,Educational attainment,rs9849808,8e-10,13577,educational attainment,Polygenic prediction of educational attainment within and between families from genome-wide association analyses in 3 million individuals.,35361970,True,AG80295,GBE1,37.0,0.4922370589536692,False,0.7465498824797343,0.629379066124169,0.605538,0.08313120246287282,1.0,0.4922370589536692,0.0,0.13437897884635217,0.044056534628691836,0.13321836,0.018288864541832022,0.13,0.063990817663977,0.0,0.5239335556808531
13,HAR_376,HARsv2_0355,chr11,17765373,17765683,310,3.2046301633628542,8.159000396728516,KCNC1,30010,definitive,5,1,plac_linked,KCNC1,nearest_distal,False,Educational attainment (MTAG),rs4757589,6e-09,23731,self reported educational attainment,Gene discovery and polygenic prediction from a genome-wide association study of educational attainment in 1.1 million individuals.,30038396,True,AG80295,KCNC1,19.0,0.6286312561368581,True,0.39963175082969565,0.6333582957282677,1.0,0.00834682085061053,0.8,0.6286312561368581,0.0,0.07193371514934521,0.044335080700978746,0.22,0.0018363005871343166,0.10400000000000001,0.08172206329779155,0.0,0.5238271597352498
14,HAR_1308,HARsv2_1243,chr18,55692176,55692479,303,2.807781318719353,8.902999877929688,TCF4,103984,definitive,5,1,nearest_tss,,,,Educational attainment,rs1031831,9e-17,12149,educational attainment,Polygenic prediction of educational attainment within and between families from genome-wide association analyses in 3 million individuals.,35361970,True,AG80295,TCF4,9.0,0.6200345922109919,False,0.32664871689523556,0.6287082587569864,0.896016,0.1649632236089562,0.8,0.6200345922109919,0.0,0.0587967690411424,0.044009578112989056,0.19712352,0.036291909193970365,0.10400000000000001,0.08060449698742894,0.0,0.5208262733355307
15,HAR_1290,HARsv2_1225,chr18,45291880,45292671,791,4.868364735660991,8.857999801635742,SETBP1,611401,definitive,5,2,plac_linked,SETBP1,distal,False,Educational attainment (MTAG),rs58696100,7e-09,12474,self reported educational attainment,Gene discovery and polygenic prediction from a genome-wide association study of educational attainment in 1.1 million individuals.,30038396,True,AG80295,SETBP1,9.0,0.6231980263973231,False,0.7056031512429886,0.8242947220689791,0.538599,0.08171864156062512,0.8,0.6231980263973231,0.0,0.12700856722373793,0.057700630544828546,0.11849178,0.01797810114333753,0.10400000000000001,0.08101574343165201,0.0,0.506194822343556
16,HAR_2395,HARsv2_2277,chr5,88480792,88481366,574,4.07853457917442,8.902999877929688,MEF2C,401819,definitive,5,1,nearest_tss,,,,Alzheimer's disease or educational attainment (pleiotropy),rs7737179,2e-08,18343,"Alzheimer disease, educational attainment",Pleiotropic predisposition to Alzheimer's disease and educational attainment: insights from the summary statistics analysis.,34743297,True,AG80295,MEF2C,24.0,0.8106719213324207,True,0.5603483473261408,0.7588922254718923,0.5981810000000001,0.04100163465509189,0.8,0.8106719213324207,0.0,0.10086270251870534,0.053122455783032464,0.13159982,0.009020359624120216,0.10400000000000001,0.10538734977321469,0.0,0.5039926876990728
17,HAR_1144,HARsv2_1086,chr17,2238369,2238811,442,3.1482622605357555,8.902999877929688,PAFAH1B1,354843,definitive,5,1,plac_linked,WDR81,distal,False,Obesity class II and Schizophrenia,rs10852932,4e-08,1356,"obesity disorder, schizophrenia",Shared genetics between classes of obesity and psychiatric disorders: A large-scale genome-wide cross-trait analysis.,36137488,True,AG80295,WDR81,25.0,0.5620731689581827,False,0.3892653339423286,0.7056209901115048,0.795157,0.13993351485203334,0.8,0.5620731689581827,0.0,0.07006776010961914,0.04939346930780534,0.17493454,0.030785373267447336,0.10400000000000001,0.07306951196456375,0.0,0.5022506546494356
18,HAR_224,HARsv2_0209,chr1,243476286,243476360,74,2.1188267251455914,7.059000015258789,SDCCAG8,220282,definitive,5,1,plac_linked,AKT3,distal,True,Cognitive performance (MTAG),rs2994326,4e-08,11365,cognitive function measurement,Gene discovery and polygenic prediction from a genome-wide association study of educational attainment in 1.1 million individuals.,30038396,True,AG80295,AKT3,12.0,0.6892077378219688,True,0.1999455724593093,0.34283737922698687,0.929718,0.08069672961459459,1.0,0.6892077378219688,0.0,0.035990203042675674,0.023998616545889084,0.20453796000000002,0.01775328051521081,0.13,0.08959700591685595,0.0,0.5018770660206315
19,HAR_1487,HARsv2_1412,chr2,100149084,100149262,178,1.9911044203360508,8.894000053405762,AFF3,24998,strong,4,2,nearest_tss,,,,Intelligence (MTAG),rs4851254,5e-17,2609,intelligence,A combined analysis of genetically correlated traits identifies 187 loci and a role for neurogenesis and myelination in intelligence.,29326435,True,AG80295,AFF3,12.0,0.7988263440648333,True,0.17645662589458908,0.5205232557506193,0.7312515,0.2919970901063298,0.8,0.7988263440648333,0.0,0.031762192661026034,0.03643662790254335,0.16087533,0.06423935982339256,0.10400000000000001,0.10384742472842834,0.0,0.5011609351153903
20,HAR_2397,HARsv2_2279,chr5,88830177,88830447,270,4.023859812751056,8.902999877929688,MEF2C,52738,definitive,5,1,nearest_tss,,,,Educational attainment (MTAG),rs9986272,6e-14,5668,self reported educational attainment,Gene discovery and polygenic prediction from a genome-wide association study of educational attainment in 1.1 million individuals.,30038396,False,,MEF2C,24.0,0.8106719213324207,True,0.5502933090235355,0.6052368950123422,0.947262,0.2044838240220667,0.0,0.8106719213324207,0.0,0.09905279562423638,0.04236658265086396,0.20839764000000002,0.04498644128485467,0.0,0.10538734977321469,0.0,0.5001908093331697
21,HAR_1764,ZOOHAR.307,chr20,50510350,50510419,69,4.09094409340991,8.654999732971191,ADNP,421019,definitive,5,1,plac_linked,DPM1,nearest_distal,False,Educational attainment (MTAG),rs6020560,2e-11,7468,self reported educational attainment,Gene discovery and polygenic prediction from a genome-wide association study of educational attainment in 1.1 million individuals.,30038396,True,AG80295,DPM1,8.0,0.5020651740011354,False,0.5626305361513912,0.3287448497807186,0.728981,0.15005947369281525,0.8,0.5020651740011354,0.0,0.10127349650725043,0.023012139484650303,0.16037582,0.03301308421241936,0.10400000000000001,0.0652684726201476,0.0,0.4869430128244676
22,HAR_3062,HARsv2_2921,chr9,3957230,3957374,144,2.560613623631546,8.902999877929688,GLIS3,268752,definitive,5,1,plac_linked,RFX3,distal,False,Educational attainment,rs10974256,8e-09,4338,educational attainment,Polygenic prediction of educational attainment within and between families from genome-wide association analyses in 3 million individuals.,35361970,True,AG80295,RFX3,9.0,0.5719358305728518,False,0.2811930011445683,0.47749532630391495,0.881248,0.13383868375101796,0.8,0.5719358305728518,0.0,0.050614740206022295,0.033424672841274046,0.19387456,0.02944451042522395,0.10400000000000001,0.07435165797447074,0.0,0.4857101414469911
23,HAR_1889,ZOOHAR.169,chr3,50381521,50381623,102,5.648982698117161,8.864999771118164,NPRL2,30746,strong,4,1,plac_linked,ZMYND10,nearest_distal,False,Genetic generalized epilepsy,rs2236951,1e-09,2028,idiopathic generalized epilepsy,"GWAS meta-analysis of over 29,000 people with epilepsy identifies 26 risk loci and subtype-specific genetic architecture.",37653029,False,,ZMYND10,37.0,0.5762177774313627,False,0.8491637739152478,0.40763720958368066,0.8769405,0.1653984,0.0,0.5762177774313627,0.0,0.1528494793047446,0.02853460467085765,0.19292691,0.036387648,0.0,0.07490831106607715,0.0,0.4856069530416794
24,HAR_1576,HARsv2_1496,chr2,156156260,156156826,566,4.652739496098266,8.902999877929688,NR4A2,175896,strong,4,1,plac_linked,NR4A2,distal,True,Age when finished full-time education (standard GWA),rs12613622,8e-09,18051,self reported educational attainment,Participation bias in the UK Biobank distorts genetic associations and downstream analyses.,37106081,False,,NR4A2,12.0,0.8247855515394904,True,0.6659482942652156,0.7560303830748181,0.7680779999999999,0.045012342144314384,0.2,0.8247855515394904,0.0,0.1198706929677388,0.052922126815237266,0.16897716,0.009902715271749164,0.026000000000000002,0.10722212170013376,0.0,0.484894816754859
25,HAR_1553,HARsv2_1475;ZOOHAR.44,chr2,144477007,144477623,616,4.552534133264179,8.902999877929688,ZEB2,42497,definitive,5,1,nearest_tss,,,,Educational attainment (MTAG),rs1427298,1e-09,20153,self reported educational attainment,Gene discovery and polygenic prediction from a genome-wide association study of educational attainment in 1.1 million individuals.,30038396,False,,ZEB2,13.0,0.7323008522083948,True,0.6475198888538184,0.7732923942715036,0.957503,0.03489840000000001,0.0,0.7323008522083948,0.0,0.1165535799936873,0.054130467599005264,0.21065066,0.007677648000000002,0.0,0.09519911078709133,0.0,0.48421146637978385
26,HAR_2153,HARsv2_2044,chr4,42148251,42148980,729,5.572198919048323,8.902999877929688,PHOX2B,399526,definitive,5,1,nearest_tss,,,,Personality traits or cognitive traits (multivariate analysis),rs3923787,9e-10,2263,"neuroticism measurement, cognitive function measurement",Multivariate genetic analysis of personality and cognitive traits reveals abundant pleiotropy.,37365406,True,AG80295,PHOX2B,8.0,0.008548901252833419,False,0.8350427471589997,0.8076440349421642,0.600474,0.16453871045030244,0.8,0.008548901252833419,0.0,0.15030769448861994,0.0565350824459515,0.13210428,0.036198516299066535,0.10400000000000001,0.0011113571628683443,0.0,0.4802569303965063
27,HAR_2929,HARsv2_2794;ZOOHAR.71,chr8,38380262,38380744,482,1.8241513577908868,8.895000457763672,FGFR1,87892,definitive,5,5,plac_linked,FGFR1,nearest_distal,False,Obesity class II and Attention deficit hyperactivity disorder or Obsesive-compulsive disorder or Schizophrenia,rs12681196,1e-09,1186,"attention deficit-hyperactivity disorder, obesity disorder, schizophrenia, obsessive-compulsive disorder",Shared genetics between classes of obesity and psychiatric disorders: A large-scale genome-wide cross-trait analysis.,36137488,True,AG80295,FGFR1,9.0,0.2992040534697294,False,0.14575289273860223,0.723278687588357,1.0,0.1714608,0.8,0.2992040534697294,0.0,0.026235520692948402,0.050629508131185,0.22,0.037721376,0.10400000000000001,0.038896526951064825,0.0,0.4774829317751982
28,HAR_1452,HARsv2_1381,chr2,60289479,60289740,261,5.600863656832178,8.902999877929688,BCL11A,263915,definitive,5,1,nearest_tss,,,,Intelligence,rs4411675,6e-09,2383,intelligence,"Genome-wide association meta-analysis in 269,867 individuals identifies new genetic and functional links to intelligence.",29942086,False,,BCL11A,12.0,0.6889946588900382,True,0.8403143752830043,0.5983381307159242,0.736085,0.1487628425360585,0.0,0.6889946588900382,0.0,0.15125658755094076,0.0418836691501147,0.1619387,0.03272782535793287,0.0,0.08956930565570496,0.0,0.4773760877146933
29,HAR_1937,HARsv2_1838,chr3,69997584,69998261,677,3.229550663504492,8.902999877929688,MITF,234081,definitive,5,3,nearest_tss,,,,Educational attainment,rs6809108,5e-10,2401,educational attainment,Genetic Risk for Smoking: Disentangling Interplay Between Genes and Socioeconomic Status.,34855049,True,AG80295,MITF,25.0,0.2955803019265529,False,0.4042147897676941,0.7925497346810514,0.765919,0.16815518149760825,0.8,0.2955803019265529,0.0,0.07275866215818494,0.0554784814276736,0.16850218,0.03699413992947381,0.10400000000000001,0.03842543925045187,0.0,0.47615890276578426
30,HAR_1574,HARsv2_1494,chr2,155726605,155726813,208,5.865024976600888,8.895000457763672,NR4A2,605909,strong,4,1,plac_linked,NR4A2,distal,True,Educational attainment,rs111999549,3e-11,187,educational attainment,Polygenic prediction of educational attainment within and between families from genome-wide association analyses in 3 million individuals.,35361970,False,,NR4A2,12.0,0.8247855515394904,True,0.8888953270107853,0.552173127579331,0.44556825,0.2088833522453128,0.2,0.8247855515394904,0.0,0.16000115886194136,0.038652118930553175,0.09802501500000001,0.045954337493968815,0.026000000000000002,0.10722212170013376,0.0,0.4758547519865971
31,HAR_2389,HARsv2_2271,chr5,82222661,82223171,510,1.4304740778165157,8.670999526977539,RPS23,55184,strong,4,1,plac_linked,RPS23,nearest_distal,False,Educational attainment,rs72778512,4e-11,3969,educational attainment,Polygenic prediction of educational attainment within and between families from genome-wide association analyses in 3 million individuals.,35361970,True,AG80295,RPS23,24.0,0.6100642796723476,True,0.07335312977745288,0.73478937558575,0.858612,0.1749432610579053,0.8,0.6100642796723476,0.0,0.013203563359941519,0.051435256291002505,0.18889464,0.03848751743273917,0.10400000000000001,0.07930835635740519,0.0,0.4753293334410884
32,HAR_2560,HARsv2_2434,chr6,35596592,35596869,277,1.8879103369964971,8.902999877929688,FANCE,144255,definitive,5,1,nearest_tss,,,,Educational attainment,rs113805226,1e-08,1488,educational attainment,Polygenic prediction of educational attainment within and between families from genome-wide association analyses in 3 million individuals.,35361970,True,AG80295,FANCE,9.0,0.6045564871441274,False,0.15747857571789825,0.6104460101664121,0.855745,0.1504768,0.8,0.6045564871441274,0.0,0.028346143629221682,0.04273122071164885,0.18826389999999998,0.033104896,0.10400000000000001,0.07859234332873656,0.0,0.4750385036696071
33,HAR_767,HARsv2_0723,chr14,30134917,30135411,494,4.717798565989251,8.902999877929688,PRKD1,207070,definitive,5,1,plac_linked,PRKD1,nearest_distal,False,Educational attainment (MTAG),rs8019932,1e-13,1810,self reported educational attainment,Gene discovery and polygenic prediction from a genome-wide association study of educational attainment in 1.1 million individuals.,30038396,False,,PRKD1,9.0,0.3175233517981201,False,0.6779130722145218,0.728291470685954,0.94293,0.241176,0.0,0.3175233517981201,0.0,0.12202435299861392,0.050980402948016784,0.2074446,0.053058720000000004,0.0,0.04127803573375561,0.0,0.4747861116803863
34,HAR_1680,HARsv2_1595,chr2,216636797,216636900,103,2.2284764687991836,8.553999900817871,SMARCAL1,224174,definitive,5,1,plac_linked,SMARCAL1,nearest_distal,False,Intelligence,rs1525608,1e-08,7765,intelligence,A General Cognitive Ability Factor for the UK Biobank.,36378351,True,AG80295,SMARCAL1,9.0,0.5510513231982622,False,0.2201108597468756,0.40961075788071916,0.925826,0.110304,0.8,0.5510513231982622,0.0,0.03961995475443761,0.028672753051650342,0.20368172,0.02426688,0.10400000000000001,0.07163667201577409,0.0,0.47187797982186197
35,HAR_728,ZOOHAR.113,chr13,100636708,100636759,51,4.8999803907731,8.902999877929688,PCCA,547616,definitive,5,1,plac_linked,ZIC2,distal,True,Educational attainment (years of education),rs9300612,3e-08,5743,self reported educational attainment,Gene discovery and polygenic prediction from a genome-wide association study of educational attainment in 1.1 million individuals.,30038396,True,AG80295,ZIC2,35.0,0.28305669487338725,False,0.71141747188686,0.2680280574928047,0.602384,0.11589446079829076,1.0,0.28305669487338725,0.0,0.1280551449396348,0.01876196402449633,0.13252448,0.025496781375623966,0.13,0.036797370333540344,0.0,0.47163574067329544
36,HAR_1554,HARsv2_1476,chr2,144514690,144514707,17,1.1912941310335607,2.7880001068115234,ZEB2,5413,definitive,5,1,nearest_tss,,,,Educational attainment,rs6740731,3e-11,1665,educational attainment,Polygenic prediction of educational attainment within and between families from genome-wide association analyses in 3 million individuals.,35361970,True,AG80295,ZEB2,13.0,0.7323008522083948,True,0.029366411891997096,0.051333650919147523,0.994587,0.19644110041689333,0.8,0.7323008522083948,0.0,0.005285954140559477,0.003593355564340327,0.21880914,0.043217042091716534,0.10400000000000001,0.09519911078709133,0.0,0.4701046025837077
37,HAR_2843,HARsv2_2709,chr7,122328735,122329014,279,6.469162112772276,8.899999618530273,FEZF1,24105,strong,4,1,plac_linked,FEZF1,nearest_distal,False,Attention deficit hyperactivity disorder,rs3958046,2e-08,13461,attention deficit-hyperactivity disorder,Shared genetic background between children and adults with attention deficit/hyperactivity disorder.,32279069,False,,FEZF1,9.0,0.27032359046463045,False,1.0,0.6119102505565475,0.88192125,0.07107073190402664,0.0,0.27032359046463045,0.0,0.18,0.04283371753895833,0.194022675,0.01563556101888586,0.0,0.035142066760401956,0.0,0.46763402031824614
38,HAR_1586,HARsv2_1504,chr2,161429628,161429809,181,3.4821597902969295,8.902999877929688,TBR1,13332,definitive,5,1,plac_linked,SLC4A10,nearest_distal,False,Educational attainment,rs146894379,8e-10,2681,educational attainment,Polygenic prediction of educational attainment within and between families from genome-wide association analyses in 3 million individuals.,35361970,False,,SLC4A10,12.0,0.7067597554173521,True,0.4506712195184433,0.523918247917109,1.0,0.16242714766426145,0.0,0.7067597554173521,0.0,0.08112081951331979,0.03667427735419763,0.22,0.035733972486137515,0.0,0.09187876820425578,0.0,0.4654078375579107
39,HAR_2520,ZOOHAR.283,chr5,179120896,179120989,93,4.72230564530027,8.78499984741211,GRM6,125576,definitive,5,1,nearest_tss,,,,Educational attainment,rs4701051,2e-09,147,educational attainment,Polygenic prediction of educational attainment within and between families from genome-wide association analyses in 3 million individuals.,35361970,False,,GRM6,17.0,0.6535319376031715,True,0.6787419528494065,0.38896079835290615,0.874424,0.17295640121421046,0.0,0.6535319376031715,0.0,0.12217355151289316,0.027227255884703434,0.19237328,0.0380504082671263,0.0,0.0849591518884123,0.0,0.4647836475531352
40,HAR_3107,HARsv2_2963,chr9,16729202,16729572,370,5.249125191062357,8.902000427246094,BNC2,141099,definitive,5,1,nearest_tss,,,,Educational attainment,rs59234174,9e-13,689,educational attainment,Polygenic prediction of educational attainment within and between families from genome-wide association analyses in 3 million individuals.,35361970,False,,BNC2,8.0,0.281219684622549,False,0.7756274277718064,0.6693917451763138,0.858901,0.23427552828241646,0.0,0.281219684622549,0.0,0.13961293699892513,0.046857422162341976,0.18895822,0.05154061622213162,0.0,0.03655855900093137,0.0,0.46352775438433014
41,HAR_526,HARsv2_0498,chr12,24229993,24230396,403,4.849209707647392,8.902999877929688,SOX5,279642,strong,4,1,plac_linked,SOX5,distal,True,Educational attainment,rs10842296,1e-09,11943,educational attainment,Polygenic prediction of educational attainment within and between families from genome-wide association analyses in 3 million individuals.,35361970,False,,SOX5,12.0,0.6958320159404583,True,0.7020804194059137,0.686797371057515,0.6902685000000001,0.09401040000000001,0.2,0.6958320159404583,0.0,0.12637447549306446,0.048075815974026055,0.15185907,0.020682288000000004,0.026000000000000002,0.09045816207225958,0.0,0.46344981153935016
42,HAR_1253,HARsv2_1190,chr18,37714784,37714955,171,5.398799152853237,8.902999877929688,CELF4,148986,moderate,3,1,nearest_tss,,,,Educational attainment (MTAG),rs56171318,3e-13,22208,self reported educational attainment,Gene discovery and polygenic prediction from a genome-wide association study of educational attainment in 1.1 million individuals.,30038396,True,AG80295,CELF4,19.0,0.6041425637951547,True,0.8031534240798008,0.5123750265661831,0.42550699999999997,0.027971101965458163,0.8,0.6041425637951547,0.0,0.14456761633436416,0.03586625185963282,0.09361154,0.006153642432400796,0.10400000000000001,0.07853853329337011,0.0,0.46273758391976794
43,HAR_1429,HARsv2_1360,chr2,44025120,44025412,292,1.6687236854282719,6.026000022888184,LRPPRC,29131,definitive,5,1,plac_linked,PREPL,distal,True,Externalizing behaviour (multivariate analysis),rs62137124,3e-18,3695,"social inhibition quality, attention deficit-hyperactivity disorder, substance abuse",Multivariate analysis of 1.5 million people identifies genetic associations with traits related to self-regulation and addiction.,34446935,False,,PREPL,24.0,0.6442671698774632,True,0.11716875235491261,0.6211802132713405,1.0,0.2986599453345581,0.2,0.6442671698774632,0.0,0.02109037542388427,0.04348261492899384,0.22,0.06570518797360278,0.026000000000000002,0.08375473208407022,0.0,0.46003291041055117
44,HAR_246,HARsv2_0231;ZOOHAR.242,chr10,8504571,8505091,520,5.587675945575421,8.866999626159668,GATA3,449884,definitive,5,1,nearest_tss,,,,Educational attainment,rs117769860,8e-10,1907,educational attainment,Polygenic prediction of educational attainment within and between families from genome-wide association analyses in 3 million individuals.,35361970,False,,GATA3,19.0,0.7541157213211512,True,0.837889071061609,0.7387480394050585,0.550116,0.16805995434431603,0.0,0.7541157213211512,0.0,0.15082003279108963,0.0517123627583541,0.12102552000000001,0.036973189955749525,0.0,0.09803504377174967,0.0,0.45856614927694295
45,HAR_2828,HARsv2_2695,chr7,114337580,114338171,591,4.3726951866419475,8.88700008392334,FOXP2,76644,strong,4,1,plac_linked,FOXP2,distal,False,Educational attainment,rs1916976,2e-12,11344,educational attainment,Polygenic prediction of educational attainment within and between families from genome-wide association analyses in 3 million individuals.,35361970,False,,FOXP2,9.0,0.6213620887374015,False,0.614446359420065,0.764843685402181,0.842517,0.12780890750337015,0.0,0.6213620887374015,0.0,0.1106003446956117,0.05353905797815267,0.18535374,0.028117959650741434,0.0,0.0807770715358622,0.0,0.458388173860368
